scenario_id,phase,a,b
base,airborne,2.8596827017378246,1.1635478712351472
base,at_gate,2.605640439520055,0.7886458726098388
base,taxi,2.8545859966928555,1.0636269534965406
high,airborne,-1.1320361501043366,3.432013071537544
high,at_gate,-0.5434267383373319,2.6195297107741418
high,taxi,-0.8902870462967161,3.219513178154968
low,airborne,-0.06513283332041926,0.2218621886939211
low,at_gate,-0.02489731225251941,0.031015914546408146
low,taxi,-0.0319545930598197,0.17185800042528215
