icao_id,iata,airport_name,mean_txo,std_deviation,10th_perc,median,90th_perc,source
GOOY,DKR,Dakar,15,5,9,14,21,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
HECA,CAI,Cairo,15,5,10,14,21,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
HEGN,HRG,Hurghada,14,5,10,13,19,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
HESH,SSH,Sharm El Sheikh,12,5,7,11,19,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
HKJK,NBO,Nairobi,14,4,10,13,18,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KATL,ATL,Atlanta Intl/Hartsfi,24,12,14,21,36,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KBOS,BOS,Boston,18,6,12,17,25,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KDFW,DFW,Dallas/Fort Worth,18,6,13,16,23,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KEWR,EWR,Newark,26,14,14,23,41,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KIAD,IAD,Washington,21,13,13,18,31,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KIAH,IAH,Houston Intl/Texas,19,8,13,18,27,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KJFK,JFK,New York,36,19,19,31,57,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KLAX,LAX,Los Angeles,17,5,12,16,23,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KMCO,MCO,Orlando Intl/Florida,15,6,11,13,20,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KMIA,MIA,Miami Intl/Florida,20,8,13,19,29,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KORD,ORD,Chicago O Hare Intl,22,12,12,19,32,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KPHL,PHL,Philadelphia,31,17,16,26,49,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KSEA,SEA,Seattle/Tacoma Intl,16,3,12,15,20,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KSFB,SFB,Orlando/Central Fl.,13,4,9,13,17,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
KSFO,SFO,San Francisco,22,6,16,21,29,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LBSF,SOF,Sofia,11,4,8,11,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LBWN,VAR,Varna,8,3,5,7,12,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LCLK,LCA,Larnaca,14,4,10,14,19,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LCPH,PFO,Paphos,9,4,6,8,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LEAL,ALC,Alicante,11,4,7,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LEBL,BCN,Barcelona,15,6,9,14,21,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LEIB,IBZ,Ibiza,9,4,5,8,13,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LEMD,MAD,Madrid/Barajas,19,8,11,17,28,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LEMG,AGP,Malaga,12,4,8,11,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LEPA,PMI,Palma De Mallorca,13,5,8,12,19,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LEVC,VLC,Valencia,10,4,6,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LFBD,BOD,Bordeaux/Merignac,10,3,7,9,13,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LFBO,TLS,Toulouse/Blagnac,10,3,7,10,13,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LFLL,LYS,Lyon/Sartolas,11,4,7,10,17,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LFML,MRS,Marseille/Provence,11,3,7,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LFMN,NCE,Nice,11,3,8,11,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LFPG,CDG,Paris/Charles?De?Gau,17,6,10,16,24,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LFPO,ORY,Paris/Orly,12,5,8,11,17,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LGAV,ATH,Athens,13,4,9,13,18,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LGIR,HER,Iraklion/Nikos/Kazan,9,5,5,9,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LGKO,KGS,Kos,8,5,5,7,13,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LGRP,RHO,Diagoras,8,3,5,8,12,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LGSA,CHQ,Khania/Souda,10,4,5,9,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LGSR,JTR,Santorini,8,3,5,8,13,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LGTS,SKG,Makedonia,10,4,5,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LGZA,ZTH,Zakinthos,8,4,4,7,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LHBP,BUD,Budapest/Ferihegy,9,3,5,9,13,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LICC,CTA,Catania Fontanarossa,12,5,8,11,18,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LICJ,PMO,Palermo Punta Raisi,11,4,7,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LIMC,MXP,Milan/Malpensa,12,5,8,12,18,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LIME,BGY,Bergamo/Orio Alserio,13,4,9,13,18,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LIPZ,VCE,Venice/Tessera,11,4,7,10,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LIRF,FCO,Rome/Fiumicino,19,8,10,17,29,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LIRN,NAP,Napoli Capodichino,10,4,7,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LKPR,PRG,Prague/Ruzyne,10,4,5,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LKTB,BRQ,Brno Turany,6,3,3,5,10,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LLBG,TLV,Tel Aviv/Ben Gurion,17,6,11,16,25,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LMML,MLA,Malta/Luqa,8,4,4,7,12,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LOWW,VIE,Vienna,11,5,5,11,18,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LPFR,FAO,Faro,11,4,8,10,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LPLA,TER,Lajes Terceira,6,3,3,5,10,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LPPR,OPO,Porto,10,4,7,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LPPT,LIS,Lisbon,12,4,8,12,18,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LROP,OTP,Otopeni?Intl.,11,4,6,10,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LSGG,GVA,Geneva,11,4,6,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LSZH,ZRH,Zurich,11,5,6,11,17,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LTAC,ESB,Ankara?Esenboga,12,4,8,11,17,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LTAF,ADA,Adana?Sakirpasa,10,3,6,10,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LTAI,AYT,Antalya,16,6,10,15,23,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LTAJ,GZT,Gaziantep,10,3,7,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LTBA,IST,Istanbul/Ataturk,20,9,11,18,32,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LTBJ,ADB,Izmir?Adnan?Menderes,11,3,9,11,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LTBS,DLM,Mugla?Dalaman,11,4,8,11,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LTFE,BJV,Milas/Bodrum,10,3,7,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LUKK,KIV,Kishinev,9,3,6,9,13,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LWSK,SKP,Skopje,9,5,6,8,12,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
LYBE,BEG,Surcin?Beograd,10,3,6,10,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
