icao_id,iata,airport_name,mean_txi,std_deviation,10th_perc,median,90th_perc,source
HESH,SSH,Sharm El Sheikh,6,2,4,5,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
HKJK,NBO,Nairobi,9,3,6,8,12,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KATL,ATL,Atlanta Intl/Hartsfi,10,4,6,8,14,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KBOS,BOS,Boston,9,4,5,9,12,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KDFW,DFW,Dallas/Fort Worth,8,6,4,7,14,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KEWR,EWR,Newark,10,5,6,8,14,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KIAD,IAD,Washington,8,3,5,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KIAH,IAH,Houston Intl/Texas,7,3,5,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KJFK,JFK,New York,13,7,6,12,20,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KLAX,LAX,Los Angeles,14,7,8,13,23,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KMCO,MCO,Orlando Intl/Florida,10,6,6,8,13,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KMIA,MIA,Miami Intl/Florida,7,4,4,6,11,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KORD,ORD,Chicago O Hare Intl,9,5,5,8,13,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KPHL,PHL,Philadelphia,5,4,3,4,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KSEA,SEA,Seattle/Tacoma Intl,6,2,4,5,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KSFB,SFB,Orlando/Central Fl.,8,4,5,7,12,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
KSFO,SFO,San Francisco,9,4,5,8,14,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LBSF,SOF,Sofia,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LBWN,VAR,Varna,5,2,3,5,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LCLK,LCA,Larnaca,6,3,4,6,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LCPH,PFO,Paphos,5,3,3,5,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LEAL,ALC,Alicante,5,2,3,5,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LEBL,BCN,Barcelona,5,3,3,5,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LEIB,IBZ,Ibiza,5,2,3,5,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LEMD,MAD,Madrid/Barajas,9,4,5,9,14,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LEMG,AGP,Malaga,4,2,3,4,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LEPA,PMI,Palma De Mallorca,5,3,3,5,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LEVC,VLC,Valencia,4,2,2,4,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LFBD,BOD,Bordeaux/Merignac,5,2,3,5,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LFBO,TLS,Toulouse/Blagnac,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LFLL,LYS,Lyon/Sartolas,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LFML,MRS,Marseille/Provence,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LFMN,NCE,Nice,4,1,3,4,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LFPG,CDG,Paris/Charles?De?Gau,9,3,6,9,13,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LFPO,ORY,Paris/Orly,6,3,3,5,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LGAV,ATH,Athens,7,3,4,6,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
LGIR,HER,Iraklion/Nikos/Kazan,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
